brand id,name,model,variant,year,discount
4553,Ford,Figo Aspire,Titanium,2018,50000
2334,Hyundai,Aura,SX,2020,23000
4553,Ford,Figo Aspire,Titanium,2018,50000
4553,Ford,Figo Aspire,Titanium,2018,50000
2334,Hyundai,Creta,SX+,2021,43000
1900,Renault,Duster,RXL,2016,22000
2334,Hyundai,Creta,SX+,2021,43000
1900,Renault,Kwid,RXT,2014,32000
4553,Ford,Eco Sport,Titanium Plus,2019,31000
1765,Maruti Suzuki,Dzire,VXI,2020,41000
1900,Renault,Triber,RXL,2021,10000
1190,Tata,Nexon,Smart,2019,72000
1190,Tata,Nexon,Smart,2019,72000
1765,Maruti Suzuki,Alto K10,LXI,2018,12000
2334,Hyundai,Venue,SX Plus,2017,35000
1190,Tata,Punch,Smart Plus,2019,18000
2334,Hyundai,i20,SX,2020,17000
2334,Hyundai,i20,SX,2020,17000
9011,Wolkswagon,Taigun,Topline,2021,53000
9011,Wolkswagon,Polo,GT,2014,10000
9011,Wolkswagon,Polo,GT,2014,10000
1190,Tata,Harrier,Smart Plus,2018,32000
1765,Maruti Suzuki,Grand Vitara,VXI,2021,31000
4553,Ford,Freestyle,Trend,2019,23000
1900,Renault,Kiger,RXL Plus,2020,17500
6511,Honda,Amaze,Elite,2015,11000
6511,Honda,City,Elite CVT,2019,21000
4553,Ford,Endeavour,Titanium,2017,39000
1765,Maruti Suzuki,Ciaz,ZXI,2020,22000
2334,Hyundai,Verna,SX Plus,2022,28000
9011,Wolkswagon,Virtus,Topline,2021,19000
3400,Skoda,Slavia,Elegance,2022,28000
3400,Skoda,Kushaq,Ambition,2021,14000
